"x0, y0, z0","x1, y1, z1","x2, y2, z2","x3, y3, z3","x4, y4, z4","x5, y5, z5","x6, y6, z6","x7, y7, z7","x8, y8, z8","x9, y9, z9","x10, y10, z10","x11, y11, z11","x12, y12, z12","x13, y13, z13","x14, y14, z14","x15, y15, z15","x16, y16, z16","x17, y17, z17","x18, y18, z18","x19, y19, z19","x20, y20, z20"
"[0.5600969791412354, 0.591654896736145, -1.443643640186565e-07]","[0.5748383402824402, 0.535633385181427, 0.014387127943336964]","[0.5738388895988464, 0.4830339550971985, 0.01382108498364687]","[0.5617062449455261, 0.4470389783382416, 0.009738186374306679]","[0.5434239506721497, 0.42520710825920105, 0.004001743160188198]","[0.5792956352233887, 0.4584655165672302, -0.007009468507021666]","[0.5543701648712158, 0.38990330696105957, -0.01921653188765049]","[0.5250893831253052, 0.3563021123409271, -0.02599099650979042]","[0.500545859336853, 0.3390764892101288, -0.029303893446922302]","[0.5648720860481262, 0.45671406388282776, -0.021320879459381104]","[0.5415917634963989, 0.37823283672332764, -0.03188369423151016]","[0.5080459713935852, 0.3423862159252167, -0.03554427996277809]","[0.4794074296951294, 0.3253692388534546, -0.03752607852220535]","[0.544739842414856, 0.46442222595214844, -0.034090805798769]","[0.5228118896484375, 0.385329008102417, -0.04223647341132164]","[0.49394890666007996, 0.351254940032959, -0.04611817002296448]","[0.47050923109054565, 0.33445805311203003, -0.04893011599779129]","[0.5215972065925598, 0.47954899072647095, -0.04490865767002106]","[0.49525120854377747, 0.42671123147010803, -0.05181756988167763]","[0.4728512167930603, 0.40205544233322144, -0.053093016147613525]","[0.4536657929420471, 0.3889850974082947, -0.05347733199596405]"
"[0.5694119334220886, 0.5554373860359192, -1.2323984321938042e-07]","[0.5785979628562927, 0.5026616454124451, 0.030346639454364777]","[0.5739676356315613, 0.4524579644203186, 0.04187105596065521]","[0.5585651993751526, 0.4222452640533447, 0.04738361015915871]","[0.5388485193252563, 0.4078448712825775, 0.051513057202100754]","[0.5778291821479797, 0.4127408564090729, 0.020401563495397568]","[0.556574821472168, 0.3498803973197937, 0.019846491515636444]","[0.5294678211212158, 0.32540035247802734, 0.02204902470111847]","[0.508258044719696, 0.3164687752723694, 0.02527751587331295]","[0.563024640083313, 0.4091339409351349, 0.004262993112206459]","[0.5391750335693359, 0.3351742625236511, 0.00561402877792716]","[0.5107059478759766, 0.3094784915447235, 0.01065958570688963]","[0.4888550043106079, 0.2991560101509094, 0.015319162048399448]","[0.5433741807937622, 0.4158370792865753, -0.010077692568302155]","[0.5148930549621582, 0.34488445520401, -0.009474795311689377]","[0.4872487783432007, 0.3184630870819092, -0.008757962845265865]","[0.46548688411712646, 0.30608391761779785, -0.008109667338430882]","[0.5193476676940918, 0.4302372336387634, -0.021351629868149757]","[0.4877743721008301, 0.3815254271030426, -0.02193729765713215]","[0.4652522802352905, 0.36320701241493225, -0.021235838532447815]","[0.4466431736946106, 0.35613584518432617, -0.020042352378368378]"
"[0.5716956853866577, 0.527212381362915, -2.2532270804731525e-07]","[0.5799278616905212, 0.47395095229148865, 0.03712672367691994]","[0.571926474571228, 0.4266164004802704, 0.052063655108213425]","[0.5562700629234314, 0.3975687623023987, 0.059370286762714386]","[0.5383851528167725, 0.38385647535324097, 0.06466365605592728]","[0.5751155018806458, 0.3900660276412964, 0.02835932932794094]","[0.5518795847892761, 0.3270964026451111, 0.030210813507437706]","[0.5254738926887512, 0.3047598898410797, 0.033591073006391525]","[0.5063570141792297, 0.2991476356983185, 0.036869198083877563]","[0.5618599653244019, 0.3870928883552551, 0.008544079028069973]","[0.5352794528007507, 0.31285399198532104, 0.01070267055183649]","[0.5065405964851379, 0.2911751866340637, 0.01547775324434042]","[0.48518964648246765, 0.2858182191848755, 0.019283326342701912]","[0.542922854423523, 0.3946157991886139, -0.00925713311880827]","[0.512081503868103, 0.32159224152565, -0.007775777019560337]","[0.4836293160915375, 0.29659271240234375, -0.008012170903384686]","[0.46153879165649414, 0.2852807641029358, -0.009206016547977924]","[0.5196013450622559, 0.40841174125671387, -0.02337193489074707]","[0.48511332273483276, 0.3581484258174896, -0.025223445147275925]","[0.46172186732292175, 0.34021642804145813, -0.026340285316109657]","[0.4424223303794861, 0.3318552076816559, -0.027270371094346046]"
"[0.5596063733100891, 0.48535528779029846, -5.281725989902952e-08]","[0.5604309439659119, 0.4392322301864624, 0.03982832282781601]","[0.5503776669502258, 0.3963572084903717, 0.05826396122574806]","[0.5394786596298218, 0.37088581919670105, 0.06775695085525513]","[0.5289644002914429, 0.3498912751674652, 0.0754774957895279]","[0.5469802021980286, 0.3467393219470978, 0.043499015271663666]","[0.5260415077209473, 0.2856270670890808, 0.05058931186795235]","[0.5026630759239197, 0.25515133142471313, 0.055244505405426025]","[0.4834565222263336, 0.23786604404449463, 0.05851169675588608]","[0.5387877821922302, 0.34133416414260864, 0.02205396629869938]","[0.5140465497970581, 0.26998475193977356, 0.029470155015587807]","[0.4868893325328827, 0.23932307958602905, 0.03326383978128433]","[0.466050386428833, 0.22625504434108734, 0.035796985030174255]","[0.5228456258773804, 0.34706056118011475, 0.0020536507945507765]","[0.487926721572876, 0.28265485167503357, 0.006502078380435705]","[0.4596061110496521, 0.25329554080963135, 0.005407455377280712]","[0.4367341697216034, 0.23843902349472046, 0.0036541814915835857]","[0.4990842938423157, 0.360504686832428, -0.014527670107781887]","[0.4621904194355011, 0.31600552797317505, -0.012848988175392151]","[0.4382726550102234, 0.29698216915130615, -0.012516509741544724]","[0.41770660877227783, 0.2856769263744354, -0.012594583444297314]"
"[0.5487521886825562, 0.4604112505912781, -1.4527584824008954e-07]","[0.5495527982711792, 0.4160773456096649, 0.05141139030456543]","[0.542198657989502, 0.3777552545070648, 0.07555390894412994]","[0.5342506766319275, 0.3526497781276703, 0.08997531235218048]","[0.5315341353416443, 0.33170923590660095, 0.10241135209798813]","[0.5335619449615479, 0.3350010812282562, 0.04989585652947426]","[0.5163806080818176, 0.2746424674987793, 0.06037084013223648]","[0.4978325366973877, 0.2465490698814392, 0.06944970786571503]","[0.48328590393066406, 0.23009195923805237, 0.07603466510772705]","[0.5238733291625977, 0.3312205374240875, 0.026318823918700218]","[0.49831423163414, 0.25667470693588257, 0.0320315919816494]","[0.4751090407371521, 0.22990933060646057, 0.03918120265007019]","[0.45829397439956665, 0.219821959733963, 0.04588271304965019]","[0.5079348087310791, 0.33752933144569397, 0.005500401370227337]","[0.47223326563835144, 0.2731630206108093, 0.010206470265984535]","[0.4455600678920746, 0.24708329141139984, 0.012867200188338757]","[0.42528071999549866, 0.23292416334152222, 0.014942181296646595]","[0.4861966073513031, 0.3514515459537506, -0.010521643795073032]","[0.44875219464302063, 0.3088485896587372, -0.007122917100787163]","[0.4257611036300659, 0.2899620234966278, -0.005029084160923958]","[0.40726232528686523, 0.2771291136741638, -0.0033874281216412783]"
"[0.542850911617279, 0.4366323947906494, -3.573099860432194e-08]","[0.5482069253921509, 0.3922995924949646, 0.03917190805077553]","[0.5414002537727356, 0.3538009524345398, 0.056020453572273254]","[0.5363641977310181, 0.32654717564582825, 0.06492658704519272]","[0.5440014600753784, 0.3051455616950989, 0.07208523899316788]","[0.5239039063453674, 0.31585562229156494, 0.03674826771020889]","[0.5113105773925781, 0.25833889842033386, 0.04417130723595619]","[0.49774524569511414, 0.23215310275554657, 0.051423631608486176]","[0.48700234293937683, 0.2173527181148529, 0.05693485960364342]","[0.5115480422973633, 0.3117578625679016, 0.01845904439687729]","[0.4887993335723877, 0.2439536601305008, 0.0238429494202137]","[0.46929845213890076, 0.2171894609928131, 0.03073028288781643]","[0.4552220404148102, 0.20578938722610474, 0.03684322535991669]","[0.49475106596946716, 0.31948551535606384, 0.0023440641816705465]","[0.45846906304359436, 0.2610183358192444, 0.0065119294449687]","[0.4357735812664032, 0.23965811729431152, 0.009855867363512516]","[0.41917064785957336, 0.22916187345981598, 0.012451752088963985]","[0.47426968812942505, 0.3367907404899597, -0.010008740238845348]","[0.4349551796913147, 0.3008086681365967, -0.006883992347866297]","[0.4135054647922516, 0.285535991191864, -0.003907837904989719]","[0.3965243399143219, 0.2747354507446289, -0.0012760937679558992]"
"[0.5350291728973389, 0.4115716516971588, 6.706807109679858e-09]","[0.5405521392822266, 0.36879202723503113, 0.04067228361964226]","[0.5348009467124939, 0.33248236775398254, 0.05809449031949043]","[0.5313931703567505, 0.3062162399291992, 0.06666639447212219]","[0.5376512408256531, 0.2849275767803192, 0.07305391132831573]","[0.5115013718605042, 0.2930849492549896, 0.04185612499713898]","[0.4979325532913208, 0.24106574058532715, 0.051715925335884094]","[0.4877726137638092, 0.21449720859527588, 0.05926259607076645]","[0.47904548048973083, 0.19528332352638245, 0.06419803202152252]","[0.49909281730651855, 0.2901887893676758, 0.022287072613835335]","[0.4717644155025482, 0.2298382818698883, 0.029971828684210777]","[0.4533073902130127, 0.20725098252296448, 0.036060187965631485]","[0.4411884844303131, 0.19928736984729767, 0.041212137788534164]","[0.48403385281562805, 0.30019837617874146, 0.004933499731123447]","[0.4455827474594116, 0.24987250566482544, 0.010145539417862892]","[0.42351049184799194, 0.23217448592185974, 0.012573459185659885]","[0.4080883264541626, 0.22495251893997192, 0.014416131190955639]","[0.4659956395626068, 0.31992143392562866, -0.008630514144897461]","[0.42534103989601135, 0.29038241505622864, -0.004904010333120823]","[0.40366435050964355, 0.27937519550323486, -0.0019899741746485233]","[0.3862795829772949, 0.27290433645248413, 0.0004792168037965894]"
"[0.479947566986084, 0.30474868416786194, 4.1534185868385975e-08]","[0.49342918395996094, 0.2608542740345001, 0.00037551604327745736]","[0.4899557828903198, 0.21436206996440887, -0.00045881737605668604]","[0.4847068190574646, 0.1790211796760559, -0.001777686644345522]","[0.48433050513267517, 0.15372727811336517, -0.003520571393892169]","[0.4518284499645233, 0.18839111924171448, -0.004535171203315258]","[0.424801766872406, 0.15180429816246033, -0.007754468359053135]","[0.4031505882740021, 0.13411852717399597, -0.009211194701492786]","[0.3867434859275818, 0.12549437582492828, -0.010474448092281818]","[0.42770320177078247, 0.20694726705551147, -0.007307268213480711]","[0.393286794424057, 0.17998433113098145, -0.00998638104647398]","[0.3792940080165863, 0.17785672843456268, -0.00873313844203949]","[0.37267452478408813, 0.1798929125070572, -0.007253018673509359]","[0.40894031524658203, 0.23333632946014404, -0.010020493529736996]","[0.3720785081386566, 0.2106293886899948, -0.013399713672697544]","[0.35873058438301086, 0.21043333411216736, -0.010167905129492283]","[0.35409337282180786, 0.21453101933002472, -0.007302450481802225]","[0.3972168266773224, 0.26364725828170776, -0.01254735141992569]","[0.3613768517971039, 0.2560105621814728, -0.01718299090862274]","[0.3403620719909668, 0.2594486474990845, -0.015906278043985367]","[0.32761693000793457, 0.2652914822101593, -0.013275280594825745]"
"[0.4967062175273895, 0.3657917380332947, 1.5422398291775608e-07]","[0.5034732222557068, 0.2889541685581207, 0.021382570266723633]","[0.49780717492103577, 0.23301485180854797, 0.03443150222301483]","[0.49176648259162903, 0.1907559335231781, 0.043422527611255646]","[0.48756495118141174, 0.16034160554409027, 0.051056284457445145]","[0.47404614090919495, 0.2326117753982544, 0.028853142634034157]","[0.4514389932155609, 0.19030408561229706, 0.03676792234182358]","[0.4333606958389282, 0.16309361159801483, 0.03644201159477234]","[0.417447566986084, 0.1419888436794281, 0.03445352613925934]","[0.4484628140926361, 0.24586522579193115, 0.022208930924534798]","[0.4210238456726074, 0.21479272842407227, 0.03311379626393318]","[0.40159934759140015, 0.19905886054039001, 0.031354665756225586]","[0.3863852620124817, 0.18783114850521088, 0.027133535593748093]","[0.4237070381641388, 0.264526903629303, 0.017078492790460587]","[0.3921084702014923, 0.23563361167907715, 0.026766182854771614]","[0.36818528175354004, 0.2262001484632492, 0.02449270710349083]","[0.3507389426231384, 0.2226177453994751, 0.019403669983148575]","[0.404132217168808, 0.28739821910858154, 0.013837029226124287]","[0.3711071014404297, 0.27322033047676086, 0.018140574917197227]","[0.34750205278396606, 0.27447932958602905, 0.017262205481529236]","[0.3273897171020508, 0.2757982611656189, 0.015876177698373795]"
"[0.47954124212265015, 0.329083114862442, 1.6132156588355429e-07]","[0.48850059509277344, 0.259775310754776, 0.0067938510328531265]","[0.484922856092453, 0.20593959093093872, 0.009906983003020287]","[0.47518518567085266, 0.1664210855960846, 0.010625557973980904]","[0.4742046892642975, 0.13656167685985565, 0.01024597231298685]","[0.4442651867866516, 0.194256991147995, 0.010626595467329025]","[0.41899996995925903, 0.1599837839603424, 0.013042876496911049]","[0.397771418094635, 0.13894611597061157, 0.011645683087408543]","[0.3796299695968628, 0.12386453151702881, 0.00937537383288145]","[0.41933003067970276, 0.21194756031036377, 0.006264310795813799]","[0.3916218876838684, 0.19035965204238892, 0.007951400242745876]","[0.37973982095718384, 0.18773558735847473, 0.006157534662634134]","[0.37499380111694336, 0.19114144146442413, 0.004594434984028339]","[0.39896395802497864, 0.23723378777503967, 0.0023446697741746902]","[0.3680649995803833, 0.21763524413108826, 0.0027594093699008226]","[0.35363540053367615, 0.21651104092597961, 0.0021670714486390352]","[0.346580445766449, 0.219865620136261, 0.0013360792072489858]","[0.38465332984924316, 0.26879534125328064, -0.0009172530844807625]","[0.35064709186553955, 0.2560496926307678, -0.0028597223572432995]","[0.33034950494766235, 0.26007986068725586, -0.0023675074335187674]","[0.31619152426719666, 0.2665364742279053, -0.0009208880946971476]"
